Text: ствовая-ствием, Number: 22, Confidence: 0.88, Bbox: [22.704391479492188, 0.7503292560577393, 2288.283203125, 574.9009399414062]
Text: -с, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: безусловный, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: рефлекс, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: слюноотделения, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: и, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: отсутствие, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: безразличия, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: и, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: отсутствие, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: безразличного, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: раздражителя, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: изображено, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: на, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: рисунке, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: а, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: -с, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: в, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: головном, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: мозге, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: -с, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: безусловный, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: рефлексогенная, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: реакция, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: организма, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: разграждение, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: на, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: разграждение, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: сложная, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: форма, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: при, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: участии, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: центральной, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: нервной, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: системы, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: инстинктповеде-, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: ник, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: животного, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: системы,, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: инстинкт-, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: поведе-, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: ник, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
Text: животного, Number: 24, Confidence: 0.48, Bbox: [9.21908950805664, 1487.080810546875, 2305.669921875, 2319.1103515625]
