Text: море, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: определенных, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: действий, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: не, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: подкрепленное, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: безусловным, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: раздражителем, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: -с, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: Зрительный, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: анализатор, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: чувствительный, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: петрови, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: зрительный, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: центр, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: кора, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: больших, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: полушарий, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: временная, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: связь, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: центр, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: смоноотдельная,, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: двигательный, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: нейрон, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: сгонная, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: железа, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: no25, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: -с, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: У, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: фраеров, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: длинная, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: тыся, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: следовательно, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: сосуды, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: топкое, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: длин, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: несущие, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: кровь, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: к, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: головному, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: мозгу, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: иные, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: крови, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: б, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: Требуется, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: больное, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: давысыне,, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: чтобы, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: преодолеть, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: большое, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: расстояние, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: мудр, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: сердца, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: я, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: готовнос, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: -с, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: Соединительная, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: ткано, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: г, Number: 23, Confidence: 0.40, Bbox: [33.90690612792969, 1189.353271484375, 2306.70849609375, 2576.585693359375]
Text: аппаратов, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: вокруг, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: в, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: связи, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: писает, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: большую, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: плотность, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: повышенным, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: давлением, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: в, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: в, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: его, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: сосудах, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: препятстви, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: повреждению, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: сосудов, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: из-за, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: давления, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: При, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: повышенном, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: давлении, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: возникает, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: При, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: повышенном, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: давлении, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
Text: возникает, Number: 24, Confidence: 0.30, Bbox: [29.655759811401367, 2013.3980712890625, 2301.253173828125, 2590.0]
