Text: закладывается, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: алекса, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: железы, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: задание, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: -с, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: -с, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: шал, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: жирафа, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: намного, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: больше, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: и, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: длиннее, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: чем, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: чтобы, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: у, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: человека, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: поэтому, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: кровь, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: дошла, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: до, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: мозга, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: давление, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: в, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: сосудах, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: будет, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: больше, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: -с, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: чтобы, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: сосуды, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: не, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: лопнули, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: высокого, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: давление, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: от, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: -с, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: стенки, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: сосудов, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: становятся, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: более, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: плотны, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: ми, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: чтобы, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: выдержать, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: повышенное, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: давление, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: возникают, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: отенит, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: поэтому, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: задание, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: -с, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: -с, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: наиболее, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: древние, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: предки, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: могли, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: обитать, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: в, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: баксы, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: северных, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: на, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: северных, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: материна, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: северн, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: Америка, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: Евразия, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: и, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: тади, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: -с, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: из-за, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: смены, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: климата, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: сумчатые, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: живот, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: ные, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: переночевали, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: в, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: дженаро, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: Америку, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: и, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: лист, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: а, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: см, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: и, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: лист, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: 3, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: см, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
