Text: no26, Number: none, Confidence: none, Bbox: none
Text: биологическому, Number: none, Confidence: none, Bbox: none
Text: прогрессу, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: значит, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: большему, Number: none, Confidence: none, Bbox: none
Text: количеству, Number: none, Confidence: none, Bbox: none
Text: видов, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: особей, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Южная, Number: none, Confidence: none, Bbox: none
Text: Америка, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: была, Number: none, Confidence: none, Bbox: none
Text: отделена, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: друзьях, Number: none, Confidence: none, Bbox: none
Text: остальной, Number: none, Confidence: none, Bbox: none
Text: сухие, Number: none, Confidence: none, Bbox: none
Text: Земли, Number: none, Confidence: none, Bbox: none
Text: непреодолимыми, Number: none, Confidence: none, Bbox: none
Text: препятствиями, Number: none, Confidence: none, Bbox: none
Text: поэтому, Number: none, Confidence: none, Bbox: none
Text: сумчатые, Number: none, Confidence: none, Bbox: none
Text: вступили, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: конкуренцию, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: более, Number: none, Confidence: none, Bbox: none
Text: приспособленными, Number: none, Confidence: none, Bbox: none
Text: видами, Number: none, Confidence: none, Bbox: none
Text: которую, Number: none, Confidence: none, Bbox: none
Text: сумчатые, Number: none, Confidence: none, Bbox: none
Text: проиграли, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: пришли, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: биологичек, Number: none, Confidence: none, Bbox: none
Text: кому, Number: none, Confidence: none, Bbox: none
Text: регрессу, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: Южной, Number: none, Confidence: none, Bbox: none
Text: америке, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: значит, Number: none, Confidence: none, Bbox: none
Text: меньше, Number: none, Confidence: none, Bbox: none
Text: видов, Number: none, Confidence: none, Bbox: none
Text: особей, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: основе, Number: none, Confidence: none, Bbox: none
Text: этой, Number: none, Confidence: none, Bbox: none
Text: закономерна, Number: none, Confidence: none, Bbox: none
Text: лежит, Number: none, Confidence: none, Bbox: none
Text: теория, Number: none, Confidence: none, Bbox: none
Text: о, Number: none, Confidence: none, Bbox: none
Text: существовавшем, Number: none, Confidence: none, Bbox: none
Text: раньше, Number: none, Confidence: none, Bbox: none
Text: материке-кангле,, Number: none, Confidence: none, Bbox: none
Text: окалывал, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: которого, Number: none, Confidence: none, Bbox: none
Text: образовались, Number: none, Confidence: none, Bbox: none
Text: современные, Number: none, Confidence: none, Bbox: none
Text: материки, Number: none, Confidence: none, Bbox: none
