Text: рота, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: трауров, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: конечно, Number: none, Confidence: none, Bbox: none
Text: остях, Number: none, Confidence: none, Bbox: none
Text: тать, Number: none, Confidence: none, Bbox: none
Text: вокруг, Number: none, Confidence: none, Bbox: none
Text: капилляров, Number: none, Confidence: none, Bbox: none
Text: имеет, Number: none, Confidence: none, Bbox: none
Text: большую, Number: none, Confidence: none, Bbox: none
Text: плот, Number: none, Confidence: none, Bbox: none
Text: носить, Number: none, Confidence: none, Bbox: none
Text: потому, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: если, Number: none, Confidence: none, Bbox: none
Text: бы, Number: none, Confidence: none, Bbox: none
Text: этого, Number: none, Confidence: none, Bbox: none
Text: ни, Number: none, Confidence: none, Bbox: none
Text: боль, Number: none, Confidence: none, Bbox: none
Text: большую, Number: none, Confidence: none, Bbox: none
Text: плот-, Number: none, Confidence: none, Bbox: none
Text: ность,, Number: none, Confidence: none, Bbox: none
Text: потому, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: если, Number: none, Confidence: none, Bbox: none
Text: бы, Number: none, Confidence: none, Bbox: none
Text: этого, Number: none, Confidence: none, Bbox: none
Text: ни, Number: none, Confidence: none, Bbox: none
Text: боль, Number: none, Confidence: none, Bbox: none
