Text: Задача, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: кета, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: гиперстен, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: высек, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: анионам, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: клеть, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: гипербол, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: комья, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: нет, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: гипертекст, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: аномален, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: кипеть, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: УБ, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: сын, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: корн, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: кипень, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: перепр, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: а, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: пошали, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: кисть, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: нет, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: гипертиреоз, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: корн, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: нет, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: готерпур., Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: -с, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: а, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: -с, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: аномии, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: нет, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: гиперизм, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: жидель, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: кот, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: гипербол, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: а, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: гиперпир, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: кидель, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: кот, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: гиперыр., Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: а, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
