Text: они, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: сигнал, Number: 23, Confidence: 0.43, Bbox: [27.819055557250977, 667.3502807617188, 2303.202392578125, 2541.541748046875]
Text: в, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: мозговых, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: сигнал, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: обрабатывается, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: и, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: передается, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: в, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: сило, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: физ, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: за, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: затем, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: сигнал, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: передается, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: слюнным, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: железам, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: и, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: начинает, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: вырабатываться, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: плюса, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: no22., Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: -с, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: препарат, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: и, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: натеки, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: из, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: может, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: оказии, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: вать, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: влияние, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: на, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: отместке, Number: 23, Confidence: 0.43, Bbox: [27.819055557250977, 667.3502807617188, 2303.202392578125, 2541.541748046875]
Text: вкусных, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: частиц, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: в, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: образце, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: комместве, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: вкрусны, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: Кусных, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: частиц, Number: 23, Confidence: 0.43, Bbox: [27.819055557250977, 667.3502807617188, 2303.202392578125, 2541.541748046875]
Text: в, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: образце, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
