Text: хозяев, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: гиперон, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: пикнет, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: нормаль, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: Да, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: возможен, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: так, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: после, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: кроссинговера, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: образуется, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: гамета, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: -де, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: слияние, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: которой, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: с, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: х, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: дает, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: возможность, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: рождения, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: ребенка, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: с, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: нормальным, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: развитием, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: и, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: с, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: шпортрича,, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: ам, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: бо, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
