Text: нарушаться, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: 9999, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: а, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -с, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: Фенил, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: кетона, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: частота, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -с, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: а, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: о, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: о, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: По, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: хардивайнберга, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: Частота, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: Ва, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: а, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -де, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: а, Number: 27, Confidence: 0.46, Bbox: [1.6358919143676758, 856.205322265625, 2299.92919921875, 1349.614013671875]
Text: -с, Number: 27, Confidence: 0.46, Bbox: [1.6358919143676758, 856.205322265625, 2299.92919921875, 1349.614013671875]
Text: Эволюционный, Number: 27, Confidence: 0.46, Bbox: [1.6358919143676758, 856.205322265625, 2299.92919921875, 1349.614013671875]
Text: фактор, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: наследственная, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: изменчивость, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -де, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: Ген, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: Признак, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: решение, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: Норма, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: аномалия, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: кисти, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: мужчина, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: с, Number: 28, Confidence: 0.63, Bbox: [0.0, 1391.549072265625, 756.1881713867188, 2582.690673828125]
Text: анализе, Number: 28, Confidence: 0.63, Bbox: [0.0, 1391.549072265625, 756.1881713867188, 2582.690673828125]
Text: пистик, Number: 28, Confidence: 0.63, Bbox: [0.0, 1391.549072265625, 756.1881713867188, 2582.690673828125]
Text: женщина, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: гипертрихоз, Number: 28, Confidence: 0.63, Bbox: [0.0, 1391.549072265625, 756.1881713867188, 2582.690673828125]
Text: а, Number: 28, Confidence: 0.63, Bbox: [0.0, 1391.549072265625, 756.1881713867188, 2582.690673828125]
Text: Норма, Number: 28, Confidence: 0.63, Bbox: [0.0, 1391.549072265625, 756.1881713867188, 2582.690673828125]
Text: -с, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -с, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: красного, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -де, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: а, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: Гипертрихоз, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -де, Number: 28, Confidence: 0.63, Bbox: [0.0, 1391.549072265625, 756.1881713867188, 2582.690673828125]
Text: -де, Number: 28, Confidence: 0.63, Bbox: [0.0, 1391.549072265625, 756.1881713867188, 2582.690673828125]
Text: здоровая, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: дочь, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -с, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -с, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: дочь, Number: 28, Confidence: 0.63, Bbox: [0.0, 1391.549072265625, 756.1881713867188, 2582.690673828125]
Text: с, Number: 28, Confidence: 0.63, Bbox: [0.0, 1391.549072265625, 756.1881713867188, 2582.690673828125]
Text: аномален, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: писате, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: сын, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: с, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: гипертрихозом, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -де, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: с, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: обоими, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: заболев, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: ра, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: д, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: ХУ, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -с, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: здоровый, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: мужчина, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -де, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -де, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: здоровая, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: дочь, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -с, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: -с, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: сын, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: аномалией, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: кисти, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: первом, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: кокке, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: возможно, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: рождение, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: сына, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: гипертрихозом, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: унаследовав, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: здоровую, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: хромосому, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: фужеру, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: и, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: у-хролос., Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: от, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: отца, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: бокке, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: возможно, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: рождение, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: сына, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: с, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: типертрихозол, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: упаследовав, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: здоровую, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: Х-хромосому, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: от, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: нужеру, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: и, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: У-хролос., Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: от, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
Text: отца, Number: 27, Confidence: 0.70, Bbox: [11.464828491210938, 849.5513916015625, 1564.48486328125, 1333.4285888671875]
