Text: 522:, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: на, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: вчерась, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: ные, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: клетки, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: -с, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: С, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: противовирусным, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: препаратом, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: не, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: удастся, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: уставлявшем, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: лекарственного, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: довить, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: между, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: препарата, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: и, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: количеством, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: вирусных, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: частиц, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: в, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: образце, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: -с, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: Отрицательный, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: контрольисключить, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: добавление, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: лекарственного, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: средства, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: ане, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: препарат, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: -с, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: Остальные, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: параметры, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: обновить, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: без, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: изменений, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: 223:, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: -с, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: вирусный, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: Тестируемый, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: препарат, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: не, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: раз, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: кушает, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: вирусные, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: частицы, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: -с, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: количество, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: вирусных, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: частиц, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: увеличивается, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: или, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: остается, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: неизменным, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: после, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: введения, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: препарата, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: -с, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: Микроскопический, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: метод, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: Вирусы, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: размножаются, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: в, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: геометрической, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: прогрессии, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: Вирусы, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: убивают, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: здоровые, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: клетки, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: мэн, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: -с, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: На, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: рисунке, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: а, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: -с, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: Рефлекторный, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: центр, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: безусловного, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: слюноотделительного, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: А., Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: 2), Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: Рефлекторный, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: центр, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: безусловного, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: спюноотделительного, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
