Text: человеком, Number: 22, Confidence: 0.71, Bbox: [0.0, 0.0, 2295.395263671875, 1077.3568115234375]
Text: Австралия, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: а, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: долгое, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: время, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: иных, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: это, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: способство, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: открытия, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: была, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: изолированным, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: материком, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: было, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: определенному, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: эволюции, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: на, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: в, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: ней, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: В, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: это, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: Австралии, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: шел, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: ваяний, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: естественный, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: отбор, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: ввиду, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: отсутствия, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: многого, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: разиня, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: хищников, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: -с, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: Теория, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: метения, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: материков, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: -с, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: южная, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: Америка, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: и, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: австралиек, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: ранее, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: будучи, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: учи, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: одним, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: материком, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: имели, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: имеют, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: виды, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: животных, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: с, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: одним, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: общи, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: ми, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: предали, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: имеют, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: виды, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: животных, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: с, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: одним, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: общи, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: ми, Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
Text: предпали., Number: 22, Confidence: 0.42, Bbox: [0.0, 1080.4197998046875, 2288.938720703125, 2558.169189453125]
