Text: зазвав, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: потомок, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: с, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: генотипом, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: -с, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: вескому, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: генотип, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: соответствует, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: фенотип, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: с, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: нормальным, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: р, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: развитием, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: пистик, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: и, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: интертринозом., Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: и, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: интертринозом., Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
