Text: нута, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: своих, Number: none, Confidence: none, Bbox: none
Text: ружей, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: живут, Number: none, Confidence: none, Bbox: none
Text: абсолютно, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: таком, Number: none, Confidence: none, Bbox: none
Text: же, Number: none, Confidence: none, Bbox: none
Text: климате, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: биографическая, Number: none, Confidence: none, Bbox: none
Text: закономерность, Number: none, Confidence: none, Bbox: none
Text: наблюдается, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: том, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: каждый, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: жение, Number: none, Confidence: none, Bbox: none
Text: произошел, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: предыдущее, Number: none, Confidence: none, Bbox: none
Text: го, Number: none, Confidence: none, Bbox: none
Text: Они, Number: none, Confidence: none, Bbox: none
Text: все, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: дружи, Number: none, Confidence: none, Bbox: none
Text: перемещались, Number: none, Confidence: none, Bbox: none
Text: ближе, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: Австралии, Number: none, Confidence: none, Bbox: none
Text: ав, Number: none, Confidence: none, Bbox: none
Text: более, Number: none, Confidence: none, Bbox: none
Text: сухой, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: теплый, Number: none, Confidence: none, Bbox: none
Text: климат, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Закон, Number: none, Confidence: none, Bbox: none
Text: филогенетических, Number: none, Confidence: none, Bbox: none
Text: недов, Number: none, Confidence: none, Bbox: none
Text: 5), Number: none, Confidence: none, Bbox: none
Text: Закон, Number: none, Confidence: none, Bbox: none
Text: филосенетических, Number: none, Confidence: none, Bbox: none
Text: недов., Number: none, Confidence: none, Bbox: none
