Text: x=xa-, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: есть, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: -с, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: р, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: д, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: х, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: х, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: женщина, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: с, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: экономист, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: развития, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: кисти, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: без, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: широко, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: х, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: мужчин, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: без, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: гипертоников, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: польский, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: развития, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: п, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: кисти, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: -с, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: до, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: девочка, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: без, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: королей, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: развиты, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: без, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: кисти, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: и, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: гипертрихоз, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: мальчик, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: с, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: нашими, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: развития, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: кисти, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: и, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: без, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: гипертрихоза, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: -с, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: В, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: первом, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: бровке, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: рождение, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: ребенка, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: в, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: кормильцах, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: развитием, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: кисти, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: и, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: гипертрихоз, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: раз, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: возмож, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: Это, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: зальчик, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: поник, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: которого, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: получает, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: реж, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: хромосому, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: от, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: боту, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: с, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: рецептивный, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: му, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: и, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: хромосому, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: от, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: матери, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: знаком, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: (гинертричоз), Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: доминантный, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: школе, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: (гинертричоз), Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: доминантный, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: школе., Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
