Text: метод, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: предки, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: современных, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: с, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: суточных, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: обитали, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: в, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: уютном, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: полусидим, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: земли, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: Изначально, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: на, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: Земле, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: был, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: один, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: материк, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: который, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: в, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: дальнейшем, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: раскололся, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: Южная, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: Америка, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: и, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: Австралия, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: образовались, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: южной, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: а, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: так, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: части, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: материка, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: на, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: ней, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: обитали, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: сумчатые, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: то, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: при, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: расколе, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: тавотных, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: оказались, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: изолированы, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: на, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: этих, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: материках, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: а, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: в, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: -с, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: пошали, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: кисти, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: анализ, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: кисти, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: -с, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: отсутствие, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: гипертрихоза, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: кисти, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: -, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: гипертрихоз, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: отсутствие, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: гипертрахоза, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
