Text: правильно, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: no26., Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: По, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: данному, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: филогенетическое, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: чтобы, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: ка-, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: паляры, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: не, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: лопались, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: от, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: высокого, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: дав-, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: ления., Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: No26., Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: По, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: данному, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: филогенетическо-, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
