Text: безусловным, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: расселении, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: сумчатых, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: могло, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: привести, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: из-за, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: графической, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: лоции, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: дано, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: Х, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: норм, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: разв, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: кисти, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: сила, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: зосима, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: на, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: дискование, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: скрипов, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: р, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: п, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: х, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: а, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: в, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: ав, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: халву, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: генотип, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: норм, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: разка, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: без, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: гипертрихоза, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: аномалий, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: гипертрихоз, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: гипертрихоз, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: щекоте, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: кроссинговер-облин, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: участками, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: в, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: х, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: генотипы, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: фенотипы, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: а, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: мальчики, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: хающую, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: халву, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: Антипе, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: лист, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: -, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: Инстипе, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: лист, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
