Text: 126., Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: Г, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: отображен, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: безус, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: из, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: условный, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: рефлекс, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: слюноотделения, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: и, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: отсутствует, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: безразличный, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: раздражитель, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: редолекс, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: слюндотделения, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: и, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: отсутствует, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: безразличный, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: раздражитель, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
