Text: корня, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: возможно, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: рождение, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: ребенка, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: с, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: р, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: корн, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: развитием, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: кости, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: и, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: с, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: гипертрихозом, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: от, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: мамы, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
Text: папы, Number: 28, Confidence: 0.97, Bbox: [40.90149688720703, 0.0, 2274.80712890625, 2078.796142578125]
