Text: а, Number: none, Confidence: none, Bbox: none
Text: шизики, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: быть, Number: none, Confidence: none, Bbox: none
Text: еще, Number: none, Confidence: none, Bbox: none
Text: приобретенным, Number: none, Confidence: none, Bbox: none
Text: пистичект-, Number: none, Confidence: none, Bbox: none
Text: нет, Number: none, Confidence: none, Bbox: none
Text: саванный, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: нейрон, Number: none, Confidence: none, Bbox: none
Text: чувствительны, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: двигательный, Number: none, Confidence: none, Bbox: none
Text: иерарх, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: совайся, Number: none, Confidence: none, Bbox: none
Text: играй, Number: none, Confidence: none, Bbox: none
Text: meneza, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: свет, Number: none, Confidence: none, Bbox: none
Text: (пемпочка),, Number: none, Confidence: none, Bbox: none
Text: опии, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: шел, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: большое, Number: none, Confidence: none, Bbox: none
Text: масс, Number: none, Confidence: none, Bbox: none
Text: удлинением, Number: none, Confidence: none, Bbox: none
Text: им, Number: none, Confidence: none, Bbox: none
Text: пушное, Number: none, Confidence: none, Bbox: none
Text: большее, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: сердц, Number: none, Confidence: none, Bbox: none
Text: поступление, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: работы, Number: none, Confidence: none, Bbox: none
Text: 2..., Number: none, Confidence: none, Bbox: none
Text: Соединительная, Number: none, Confidence: none, Bbox: none
Text: капилляре, Number: none, Confidence: none, Bbox: none
Text: тка, Number: none, Confidence: none, Bbox: none
Text: иг, Number: none, Confidence: none, Bbox: none
Text: голову, Number: none, Confidence: none, Bbox: none
Text: конечностей, Number: none, Confidence: none, Bbox: none
Text: плотнее, Number: none, Confidence: none, Bbox: none
Text: чтобы, Number: none, Confidence: none, Bbox: none
Text: того, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: работы, Number: none, Confidence: none, Bbox: none
Text: 2..., Number: none, Confidence: none, Bbox: none
Text: Соединительная, Number: none, Confidence: none, Bbox: none
Text: капиллере, Number: none, Confidence: none, Bbox: none
Text: тка, Number: none, Confidence: none, Bbox: none
Text: иг, Number: none, Confidence: none, Bbox: none
Text: голову., Number: none, Confidence: none, Bbox: none
Text: конечностей, Number: none, Confidence: none, Bbox: none
Text: платнее, Number: none, Confidence: none, Bbox: none
Text: чтобы, Number: none, Confidence: none, Bbox: none
Text: того,, Number: none, Confidence: none, Bbox: none
