Text: 1)нуависимая, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: лекарств, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: измерять, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: комнатой, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: вирусных, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: частиц, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: без, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: довольная, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: лекарственного, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: нно, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: средства, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: Остальные, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: параметры, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: оставить, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: гулинений., Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: no23., Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: -с, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: Данный, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: препарат, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: разрушай, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: думает, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: водочные, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: частицы, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: спустя, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: внешних, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: препарата, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: наблюда, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: лось, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: умные, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: ной, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: водочных, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: частиц, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: с, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: -с, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: до, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: -де, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: ммоль, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: -с, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: Биохимический, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: метод, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: -с, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: вирусы, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: осуществляют, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: обратную, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: тру, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: то, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: транскрипции, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: корит, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: умо, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: и, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: пумой, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: ся, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: внутри, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: клетки, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: с, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: огра, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: тройней, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: скоростью, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: так, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: вете, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: оте, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: осущ, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: жесткие, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: валяют, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: смолян, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: самопроверку, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: no24-, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: На, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: а, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: устрашен, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: человеко, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: фомке, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: слюнкотомотсутствует, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: будущем, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: -с, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: кора, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: больших, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: полушарий, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: -с, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: институтвоождь, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: поведение, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: животного, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: двусловный, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: особняке, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: реакция, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: жниц, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: щи, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: куля, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: организм, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: на, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: какой, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: при, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: либо, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: раздражитель, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: в, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: в, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: сопутствует, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: безусловный, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: и, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: родился, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: сл, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: мочеотделения, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: два, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: отсутствует, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: сущ, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: случаем, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: раздражение, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: Под, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: буквой, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: в, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: отсутствует, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: только, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: различный, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: раздражитель, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: сможет-, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: деления, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: два, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: отсутствует, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: сущ., Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: случаем, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: раздражение., Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: Под, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: буквой, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: в, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: поскутствует, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: только, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: буразличный, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
Text: раздражитель,, Number: 22, Confidence: 0.34, Bbox: [0.0, 30.415042877197266, 2298.756591796875, 1397.876953125]
