Text: плотность, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: и, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: сохранить, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: их, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: деланность, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: у, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: человека, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: ниже, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: артериальное, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: давление, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: из, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: нем, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: человека, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: нет, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: эпиграфа, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: поэтому, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: у, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: необходимости, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: лихости, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: в, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: очень, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: плотной, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: соединительной, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: ткани, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: капилляров, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: обнинце, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: от, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: жирафов, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: людей, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: при, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: артериальный, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: давлении, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: может, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: возникать, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: отечность, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: так, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: кровь, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: очень, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: востро, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: изерхуширует,, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: происходит, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: застой, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: тканевой, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: лихости, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: воды, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: лимфа, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: в, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: орг, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: организме, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: -де, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: более, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: прижатых, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: древние, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: предки, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: генных, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: современный, Number: 24, Confidence: 0.38, Bbox: [41.988800048828125, 2061.51220703125, 2293.693359375, 2590.0]
Text: обитали, Number: 24, Confidence: 0.38, Bbox: [41.988800048828125, 2061.51220703125, 2293.693359375, 2590.0]
Text: в, Number: 24, Confidence: 0.38, Bbox: [41.988800048828125, 2061.51220703125, 2293.693359375, 2590.0]
Text: Южной, Number: 24, Confidence: 0.38, Bbox: [41.988800048828125, 2061.51220703125, 2293.693359375, 2590.0]
Text: конины, Number: 24, Confidence: 0.38, Bbox: [41.988800048828125, 2061.51220703125, 2293.693359375, 2590.0]
Text: Южной, Number: 24, Confidence: 0.38, Bbox: [41.988800048828125, 2061.51220703125, 2293.693359375, 2590.0]
Text: брикет, Number: 24, Confidence: 0.38, Bbox: [41.988800048828125, 2061.51220703125, 2293.693359375, 2590.0]
Text: енных, Number: 24, Confidence: 0.38, Bbox: [41.988800048828125, 2061.51220703125, 2293.693359375, 2590.0]
Text: современный, Number: 24, Confidence: 0.38, Bbox: [41.988800048828125, 2061.51220703125, 2293.693359375, 2590.0]
Text: обитали, Number: 24, Confidence: 0.38, Bbox: [41.988800048828125, 2061.51220703125, 2293.693359375, 2590.0]
Text: в, Number: 24, Confidence: 0.38, Bbox: [41.988800048828125, 2061.51220703125, 2293.693359375, 2590.0]
Text: Южной, Number: 24, Confidence: 0.38, Bbox: [41.988800048828125, 2061.51220703125, 2293.693359375, 2590.0]
Text: контины, Number: 24, Confidence: 0.38, Bbox: [41.988800048828125, 2061.51220703125, 2293.693359375, 2590.0]
Text: Южной, Number: 24, Confidence: 0.38, Bbox: [41.988800048828125, 2061.51220703125, 2293.693359375, 2590.0]
Text: рике., Number: 24, Confidence: 0.38, Bbox: [41.988800048828125, 2061.51220703125, 2293.693359375, 2590.0]
