Text: что, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: современных, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: сумчатого, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: в, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: Южной, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: америке, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: так, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: климат, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: более, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: благоприятен, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: для, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: них, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: г, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: Мне, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: кажется, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: что, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: биографическую, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: закономерность, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: в, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: расселении, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: сумчатых, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: можно, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: объяснить, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: тем, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: что, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: они, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: привыкли, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: к, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: теплому, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: климату, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: а, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: к, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: другому, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: они, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: не, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: приспособлены, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: В, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: условии, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: дана, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: частота, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: встречаемость, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: заболев, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: получается, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: нам, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: дана, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: частота, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: встреча, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: -де, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: Нам, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: дано, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: фенотипа, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: генотипа, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: частота, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: встречаемость, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: фенотипа, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: г, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: 0,0001., Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: Нам, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: нужно, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: найти, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: частоты, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: мутантных, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: и, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: нормальных, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: аллелей, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: частоты, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: всех, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: фенотипов, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: решение, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: фенотипа, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: д-р, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: частота, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: встречаемость, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: генетика, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: аба, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: встречаемость, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: аллелям, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: а, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: частота, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: встречаемость, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: рено, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: а, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: частота, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: встречаемость, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: грабастала, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: генотипа, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: алле, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: аллелям, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: генетика, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: аба, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: да-с, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: частота, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: встречаемости, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: гра-, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: частота, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: встречаемости, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: генотипа, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: алле, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: ллеля, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: генетика, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: АА, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: Аа-, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
