Text: (24)., Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: при, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: кормлении, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: собаки, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: многочислен, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: повторение, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: те, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: кропления, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: с, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: вклею, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: включением, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: выть, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: Нервы, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: вот, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: зрителя, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: восприятие, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: свету, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: включение, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: ревет, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: бри, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: обсуждение, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: птицы, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: картуше, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: пищи, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: свой, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: Включение, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: света, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: пищи, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: коренастое, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: пищи, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: со, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: светом, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: многократное, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: кропление, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: писал, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: со, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: светом, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: Пр, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: зрительное, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: восприятие, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: света, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: пищи, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: Включение, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: света, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: предпри, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: отцветали, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: своего, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: дерегрерические, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: одену, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: построение, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: сигнала, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: в, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: цель, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: головного, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: нара, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: Анализ, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: и, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: обратно, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: и, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: порядки, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: перегоне, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: туристами, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: слышные, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: железы, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: на, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: поднятие, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: ели, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: смот, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: В, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: местах, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: с, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: жаренным, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: климатом, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: В, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: почве, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: В, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: почве, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: высокая, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: плотность, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: -с, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: Маленькие, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: размеры, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: телег, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: предков, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: имели, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: нудно, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: плотность, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: -с, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: бредни, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: думают, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: животных, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: имели, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: маленькие, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: размер, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: -с, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: Большие, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: размеры, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: гумкать, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: животных, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: имеют, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: большую, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: типажу, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: инледствится, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: изменчивая, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: животные, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: у, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: Сумчатые, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: плели, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: разгибов, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: среды, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: обителям, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: пытались, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: разного, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: пищей, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: Теория, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: брести, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: патентов, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: каждый, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: день, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: рождения, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: изощрится, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: В, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: результат, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: расхождения, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: контентов, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: образов, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: сутками, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: толщине, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: мутации, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: закрепились, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: и, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: образовались, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: новые, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: виды, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: У, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: тестируемый, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: препарат, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: не, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: счастья, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: в, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: являем, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: в, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: дрожать, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: вирусное, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: установить, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: зависимость, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: установить, Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
Text: зависимость., Number: 22, Confidence: 0.54, Bbox: [6.352388381958008, 1.6063134670257568, 2310.0, 625.1804809570312]
