Text: верхнюю, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: частиц, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: в, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: ходе, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: эксперимента, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: после, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: -с, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: часов, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: заражения, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: и, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: введения, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: дикарства, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: практически, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: не, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: изменилось, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: -с, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: Позволяет, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: установить, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: влияние, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: препарата, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: на, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: ведуны, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: участий, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: цы, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: метод, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: микроскопирования, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: -с, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: Вирус, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: достаточно, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: можно, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: обнаружить, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: до, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: самого, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: правил, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: ниях, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: дипломов, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: из-за, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: инкубационного, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: периода, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: Особенности, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: вивисекции, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: аспид, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: а, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: заключается, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: в, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: том, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: что, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: человек, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: может, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: и, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: не, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: знать, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: что, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: в, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: его, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: организме, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: есть, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: вирус, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: до, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: момент, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: когда, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: иммунная, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: система, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: практически, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: полностью, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: не, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: исчезает, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: no22., Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: -с, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: Данный, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: отрицательный, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: контроль, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: не, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: явился, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: адекватным, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: так, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: как, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: отрицательный, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: контроль, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: подразумевает, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: не, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: подвергать, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: экспериментальному, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: воздействую, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: контрольную, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: группу, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: -с, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: Вариант, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: постановки, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: отрицательного, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: контроля, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: вводить, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: дистиллированную, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: воду, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: к, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: контрольной, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: группе, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: в, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: том, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: же, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: объеме, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: что, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: и, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: лекарственный, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: препарат, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: экспериментальной, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: группе, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: или, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: группе, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
Text: или, Number: 22, Confidence: 0.33, Bbox: [69.2291259765625, 35.85426712036133, 2310.0, 409.5899963378906]
