Text: препарату, Number: none, Confidence: none, Bbox: none
Text: повторное, Number: none, Confidence: none, Bbox: none
Text: включение, Number: none, Confidence: none, Bbox: none
Text: светл, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: кормление, Number: none, Confidence: none, Bbox: none
Text: собаки, Number: none, Confidence: none, Bbox: none
Text: включение, Number: none, Confidence: none, Bbox: none
Text: светл, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: выделении, Number: none, Confidence: none, Bbox: none
Text: слоны, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: Жираф, Number: none, Confidence: none, Bbox: none
Text: имеет, Number: none, Confidence: none, Bbox: none
Text: крупные, Number: none, Confidence: none, Bbox: none
Text: размеры, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: большую, Number: none, Confidence: none, Bbox: none
Text: рост, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: сравнению, Number: none, Confidence: none, Bbox: none
