Text: Кака, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: -с, Number: 24, Confidence: 0.33, Bbox: [49.406009674072266, 1826.9986572265625, 2255.669921875, 2183.806396484375]
Text: реакция, Number: 24, Confidence: 0.33, Bbox: [49.406009674072266, 1826.9986572265625, 2255.669921875, 2183.806396484375]
Text: организма, Number: 24, Confidence: 0.33, Bbox: [49.406009674072266, 1826.9986572265625, 2255.669921875, 2183.806396484375]
Text: на, Number: 24, Confidence: 0.33, Bbox: [49.406009674072266, 1826.9986572265625, 2255.669921875, 2183.806396484375]
Text: осуществления, Number: 24, Confidence: 0.33, Bbox: [49.406009674072266, 1826.9986572265625, 2255.669921875, 2183.806396484375]
Text: процессов, Number: 24, Confidence: 0.33, Bbox: [49.406009674072266, 1826.9986572265625, 2255.669921875, 2183.806396484375]
Text: жизнедеятельности, Number: 24, Confidence: 0.33, Bbox: [49.406009674072266, 1826.9986572265625, 2255.669921875, 2183.806396484375]
Text: акружающие, Number: 24, Confidence: 0.33, Bbox: [49.406009674072266, 1826.9986572265625, 2255.669921875, 2183.806396484375]
Text: осуществления, Number: 24, Confidence: 0.33, Bbox: [49.406009674072266, 1826.9986572265625, 2255.669921875, 2183.806396484375]
Text: процессов, Number: 24, Confidence: 0.33, Bbox: [49.406009674072266, 1826.9986572265625, 2255.669921875, 2183.806396484375]
Text: жизнеделтельности., Number: 24, Confidence: 0.33, Bbox: [49.406009674072266, 1826.9986572265625, 2255.669921875, 2183.806396484375]
