Text: пищеварительный, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: вставочного, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: нейроны, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: передается, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: на, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: двигательный, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: нейрон, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: Двигательный, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: пестрин, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: передать, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: импульс, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: на, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: рабочий, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: органогенные, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: Выделение, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: слюны, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: -де, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: -с, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: По, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: теории, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: рейдера, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: материков, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: существовал, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: один, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: большой, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: материк, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: пожел, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: затем, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: он, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: разделил, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: на, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: а, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: части, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: -с, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: лаврою, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: сверил, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: и, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: пустозвону, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: южная, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: часть, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: затем, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: обзвони, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: поделилось, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: на, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: африку, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: австралиек, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: Южную, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: америку, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: антарктизь., Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: наиболее, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: древние, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: предки, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: сумчатых, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: жили, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: на, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: материке, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: гальванер, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: южная, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: -с, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: америка, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: -с, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: сумчатые, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: -с, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: это, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: животные, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: эндемики, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: только, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: на, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: определенной, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: территории, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: отрезки, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: сульфатах, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: млекопитающих, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: обитали, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: в, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: жарком, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: климате, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: це, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: у, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: них, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: сформировались, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: определенные, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: приспособления, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: Из-за, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: того, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: что, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: предки, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: сумчатых, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: млекопитающих, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: обитали, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: на, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: одном, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: материке, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: который, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: а, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: порезов, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: разделили, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: то, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: 1, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: полезовии, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: разделили,, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
Text: то, Number: 24, Confidence: 0.48, Bbox: [19.719377517700195, 1740.6318359375, 2278.63232421875, 2552.574951171875]
