Text: собственных, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: действующая, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: на, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: кровь, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: больше, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: чем, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: у, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: человека, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: Чтобы, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: преодолеть, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: эту, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: силу, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: нужно, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: значительно, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: большее, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: давление, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: в, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: артериях, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: чему, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: человека, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: -с, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: Из-за, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: большой, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: высоты, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: жирафа, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: кровь, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: в, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: его, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: конечностях, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: оказывает, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: высокое, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: давление, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: на, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: Степки, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: капилляров, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: Чтобы, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: компенсировать, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: это, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: соединительная, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: ткань, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: уплотнилась, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: -с, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: При, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: повышенном, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: давлении, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: лимфа, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: не, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: успевает, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: выводить, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
