Text: р-н, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: как, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: вирусных, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: количеств, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: ячестве, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: частиц, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: практически, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: не, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: меняется, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: стоклеточная, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: инженерия, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: -с, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: быстро, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: размножаются, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: б, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: Вирусы, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: быстро, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: мутируют, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: получая, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: иммунитет, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: к, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: противовирусным, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: препаратам, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: К, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: -де, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: На, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: рисунке, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: А, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: -с, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: -с, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: в, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: Он, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: расположен, Number: 24, Confidence: 0.34, Bbox: [29.603641510009766, 1803.014404296875, 2300.341796875, 2460.4892578125]
Text: в, Number: 24, Confidence: 0.34, Bbox: [29.603641510009766, 1803.014404296875, 2300.341796875, 2460.4892578125]
Text: головном, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: мозге, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: -с, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: Безусловный, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: рефлекс, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: приобретается, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: в, Number: 24, Confidence: 0.34, Bbox: [29.603641510009766, 1803.014404296875, 2300.341796875, 2460.4892578125]
Text: течении, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: жизни, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: а, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: инстинкт, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: с, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: самого, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: рождения, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: инстинкт, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: с, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: самого, Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
Text: рождения., Number: 27, Confidence: 0.34, Bbox: [41.94038772583008, 1809.178955078125, 2310.0, 2450.644287109375]
