Text: огодовановеденный, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: что, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: тан, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: хороший, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: кликать, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: имене, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: наиболее, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: древние, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: предки, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: современных, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: губчатых, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: обитали, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: в, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: тундре, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: Наблюдать, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: биографическую, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: закономерность, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: в, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: расселена, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: можно, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: и, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: даже, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: нужно, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: для, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: того, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: чтобы, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: в, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: каких, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: попинать, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: условиях, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: обитания, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: сумчатые, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: хорошо, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: себя, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: чувствуют, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: рождают, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: больше, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: потомства, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: очен, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: они, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: холмы, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: питаться, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: чтобы, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: здоровыми, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: Это, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: нужно, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: вс, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: для, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: того, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: чтобы, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: сумчатые, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: сохранялись, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: и, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: давали, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: больше, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: потомства, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: наследственность, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: Теория, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: родословной, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: Задание, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: а, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: а, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: свет, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: еда, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: Задание, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: -де, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: да, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: ножное, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: утверждать, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: что, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: тестируемый, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: препарат, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: разрушает, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: вирусные, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: частицы, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: из-за, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: компонентов, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: которые, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: находятся, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: в, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: препарате, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: Именно, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: эти, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: компоненты, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: убивают, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: парусы, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: биохимический, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: метод, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: позволяет, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: установить, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: влияет, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: ли, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: препарат, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: на, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: целостность, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: вирусных, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: частиц, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: на, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: целостность, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: вирусных, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: частиц., Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
