Text: гамете, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: раздражителем, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: В, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: данном, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: случае, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: скипа, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: появляется, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: при, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: попадании, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: пищи, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: на, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: язык, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: собаки, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: взаимодействие, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: вкусовыми, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: рецепторами, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: при, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: этом, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: безразличные, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: раздражители, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: отсутствуют, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: на, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: рисунке, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: а, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: реакторный, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: центр, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: безусловного, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: слюноотделительного, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: рефлекс, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: расположен, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: в, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: продолговатом, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: мозге, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: собаки, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: Институт, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: вызывает, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: определенное, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: поведение, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: живот, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: при, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: контакте, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: раздражителем, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: спасские, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: детенышей, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: при, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: виде, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: опасности, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: от, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: врача, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: материнский, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: институт, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: самосохранения, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: Рефлекс, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: физическую, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: р, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: о, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: реакцию, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: организма, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: на, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: раздражитель, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: отдергивание, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: руки, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: при, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: контакте, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: захимушвание, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: от, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: яркого, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: света, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: горячим, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: вкусовые, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: рецепторы, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: центр, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: слюноотделения, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: продолговатом, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: мозге, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: желез, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: визуальные, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: рецепторы, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: см, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: лист, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: а, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: слюпоотделительная, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: желез, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: и-, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: визуальные, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: рецепторы, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: см., Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: лист, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: 4, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
