Text: иппол, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: л, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: Аб, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: карты, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: до, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: аравит, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: генерал, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: стоит, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: ганглиями, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: развит, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: аромат, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: пуаз, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: за, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: fe:gxx, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: поломался, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: развит, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: портр, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: хохоте, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: разности, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: плоти, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: гигртр., Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: кое-, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: кроется, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: кости, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: тут, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: окаем, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: разбит, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: кости, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: возможно, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: как, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: как, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: он, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: получал, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: велотур, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: ав, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: от, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: ботах, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: от, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: метрик, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: no24), Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: На, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: рисунке, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: А, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: Где, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: цифрой, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: на, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: градине, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: А, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: инстинктимеется, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: у, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: хужеть, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: с, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: вероятный, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: рождения, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: петровке, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: Слезе, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: реальносервий, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: центрам, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: смените, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: железы, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: убор, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: no25), Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: аза, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: старания, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: тем, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: Его, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: зая, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: очень, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: длинная, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: и, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: этого, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: находится, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: тем, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: жуады., Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: 2), Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: Его, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: зая, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: очень, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: длинная, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: и, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: из-за, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: этого, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: находится, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
