Text: влияет, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: А, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: изображен, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: безусловный, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: рефлекс, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: потоотделения, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: и, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: отсутствует, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: безразличный, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: раздражитель, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: выключенная, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: лампочка, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: Рефлекторный, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: центр, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: безусловного, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: слюноотделения, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: расположен, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: в, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: продолговатом, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: мозге, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: так, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: же, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: отвечает, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: за, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: пищеварительный, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: процесс, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: -с, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: Безусловные, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: рефлексы, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: передаются, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: генетически, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: их, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: не, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: надо, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: вырабатывать, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: -с, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: Инстинк, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: есть, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: у, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: каждого, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: живого, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: организма, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: работает, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: в, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: ситуациях, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: когда, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: нужно, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: защитится, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: и, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: не, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: контролируется, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: головным, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: мозгом, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: в, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: отличие, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: см, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: постролируется, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: гоповным, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: мозгом, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: в, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: отличие, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: см, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
