Text: ав, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: является, Number: none, Confidence: none, Bbox: none
Text: ацетатным, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: помощью, Number: none, Confidence: none, Bbox: none
Text: висло, Number: none, Confidence: none, Bbox: none
Text: невозмо, Number: none, Confidence: none, Bbox: none
Text: отследить, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: го, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: методу, Number: none, Confidence: none, Bbox: none
Text: противовирусного, Number: none, Confidence: none, Bbox: none
Text: м, Number: none, Confidence: none, Bbox: none
Text: граненное, Number: none, Confidence: none, Bbox: none
Text: вирусом, Number: none, Confidence: none, Bbox: none
Text: шимционарициты, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: отрицательный, Number: none, Confidence: none, Bbox: none
Text: контролем, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: бранном, Number: none, Confidence: none, Bbox: none
Text: эксперименте, Number: none, Confidence: none, Bbox: none
Text: ищут, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: бояр, Number: none, Confidence: none, Bbox: none
Text: шестки, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: подверженные, Number: none, Confidence: none, Bbox: none
Text: эксперименту, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: сохранили, Number: none, Confidence: none, Bbox: none
Text: остальных, Number: none, Confidence: none, Bbox: none
Text: условий, Number: none, Confidence: none, Bbox: none
Text: атлет, Number: none, Confidence: none, Bbox: none
Text: уже, Number: none, Confidence: none, Bbox: none
Text: клетки, Number: none, Confidence: none, Bbox: none
Text: о, Number: none, Confidence: none, Bbox: none
Text: часов, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: добавления, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: шике, Number: none, Confidence: none, Bbox: none
Text: м, Number: none, Confidence: none, Bbox: none
Text: противовирусный, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: арат, Number: none, Confidence: none, Bbox: none
Text: номер, Number: none, Confidence: none, Bbox: none
Text: бодания, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: нет, Number: none, Confidence: none, Bbox: none
Text: утверждать, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: тестируемый, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: разруш, Number: none, Confidence: none, Bbox: none
Text: вирусные, Number: none, Confidence: none, Bbox: none
Text: частицы, Number: none, Confidence: none, Bbox: none
Text: нельзя, Number: none, Confidence: none, Bbox: none
Text: огрев, Number: none, Confidence: none, Bbox: none
Text: злотаря, Number: none, Confidence: none, Bbox: none
Text: пред, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: то, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: добавили, Number: none, Confidence: none, Bbox: none
Text: лекарственного, Number: none, Confidence: none, Bbox: none
Text: средства, Number: none, Confidence: none, Bbox: none
Text: первый, Number: none, Confidence: none, Bbox: none
Text: раз, Number: none, Confidence: none, Bbox: none
Text: волшебство, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: пусть, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: уменьшилось, Number: none, Confidence: none, Bbox: none
Text: дальнейших, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: забавницей, Number: none, Confidence: none, Bbox: none
Text: лекарств, Number: none, Confidence: none, Bbox: none
Text: отечество, Number: none, Confidence: none, Bbox: none
Text: вирус, Number: none, Confidence: none, Bbox: none
Text: опять, Number: none, Confidence: none, Bbox: none
Text: кручей, Number: none, Confidence: none, Bbox: none
Text: пушок, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: возрастало, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Метод, Number: none, Confidence: none, Bbox: none
Text: антик, Number: none, Confidence: none, Bbox: none
Text: тики, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: оши, Number: none, Confidence: none, Bbox: none
Text: наша, Number: none, Confidence: none, Bbox: none
Text: ком, Number: none, Confidence: none, Bbox: none
Text: качества, Number: none, Confidence: none, Bbox: none
Text: вирусные, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: лекарственсписта, Number: none, Confidence: none, Bbox: none
Text: системати, Number: none, Confidence: none, Bbox: none
Text: атик, Number: none, Confidence: none, Bbox: none
Text: тики, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: ошич, Number: none, Confidence: none, Bbox: none
Text: нашуа, Number: none, Confidence: none, Bbox: none
Text: ком, Number: none, Confidence: none, Bbox: none
Text: ничества, Number: none, Confidence: none, Bbox: none
Text: вирусные, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: лекарствен-, Number: none, Confidence: none, Bbox: none
Text: списта, Number: none, Confidence: none, Bbox: none
