Text: оооб, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: клетке, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: -с, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: Такой, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: контроль, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: не, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: является, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: адекватным, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: -с, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: так, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: противовирусный, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: препарат, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: из, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: натеки, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: и, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: препарат, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: исследованием, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: имеют, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: состав, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: и, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: по-разному, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: будут, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: влияние, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: на, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: изменения, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: количества, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: вирусных, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: каспиец, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: в, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: кишках, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: человека, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: нарицательный, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: контроль, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: следующий, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: образом, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: возьмем, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: придельную, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: группу, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: клеток, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: в, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: в, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: камерою, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: не, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: будет, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: вводится, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: Диму, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: иммунодефицита, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: чего, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: века, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: а, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: остальные, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: бременцы, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: оставим, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: безмене, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: уний, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: температуру, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: освещение, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: и, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: м, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: д, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: -де, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: Тестируемый, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: препарат, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: не, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: разрушаем, Number: 22, Confidence: 0.37, Bbox: [9.584651947021484, 769.5941772460938, 2308.44921875, 1801.6043701171875]
Text: вирусные, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: чайницы, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: в, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: клетке, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: это, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: можно, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: наблюдать, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: по, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: результатам, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: внесенным, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: в, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: таблицу, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: -с, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: После, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: введения, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: число, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: вирусных, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: части, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: клепке, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: практически, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: не, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: изменилось, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: -с, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: микроскопия, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: вирусных, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: части, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: клепше, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: практически, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: не, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: изменилось,, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: 3), Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: Микроскопия;, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
