Text: передача, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: после, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: чего, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: вырабатывается, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: no25, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: -с, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: Так, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: как, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: жираф, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: высокое, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: животное, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: то, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: для, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: нормального, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: кровообращения, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: в, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: санных, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: артериях, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: должно, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: быть, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: высокое, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: артериальное, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: давление, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: в, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: систолы, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: -с, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: Отечность, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: конечностей, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: возникает, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: в, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: результате, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: нарушения, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: периферического, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: кровообращения, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: из-за, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: повышенного, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: артериального, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: давления, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: -с, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: Соединительная, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: ткань, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: плотнее, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: так, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: как, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: вокруг, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: капилляров, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: конечностей, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: жирафа, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: гораздо, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: больше, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: артериальное, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: давление, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: больше, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: чем, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: у, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: человека, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: no26, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: -с, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: Древние, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: предки, Number: 22, Confidence: 0.57, Bbox: [42.1118049621582, 493.90838623046875, 2282.564453125, 1666.366455078125]
Text: обитали, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: в, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: Южной, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: америке, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: так, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: как, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: это, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: видно, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: по, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: филогенетическому, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: древу, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: сумчатых, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: животных, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: что, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: -с, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: Биографическую, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: закономерность, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: можно, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: увидеть, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: из-за, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: того, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: раньше, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: был, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: один, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: материк, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: который, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: в, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: дальний, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: результате, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: движения, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: литосферных, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: плит, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: разделился, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: на, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: несколько, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: материков, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: разделился, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: на, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: несколько, Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
Text: материков., Number: 22, Confidence: 0.46, Bbox: [53.506980895996094, 1674.900390625, 2290.837158203125, 2447.21875]
