Text: выработать, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: длинны, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: шей, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: Из-за, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: данной, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: длины, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: перегонка, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: крови, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: не, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: может, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: проходить, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: под, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: низким, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: давлением, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: а, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: также, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: из-за, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: большого, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: количестве, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: потребляемого, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: кислорода, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: Жирафы, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: имеют, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: столикий, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: образ, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: жизни, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: из-за, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: этого, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: и, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: высокого, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: давления, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: данного, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: животного, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: соединительная, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: ткань, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: вокруг, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: капилляров, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: в, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: конечностях, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: площадь, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: чем, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: у, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: человека, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: Ари, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: длительном, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: повышенном, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: давление, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: сердца, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: пересолим, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: кровь, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: по, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: организму, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: му, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: изму, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: быстрее, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: и, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: организм, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: не, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: уставали, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: прижимаешь, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: важные, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: веществе, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: через, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: кровь, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: истощение, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: и, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: поэтому, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: ложен, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: происходить, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: отечность, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: битных, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: кое-, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: нежностей, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: А, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: из-за, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: низкой, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: плот, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: питных, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: ко-, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: нечностей., Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: А, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: также, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: из-за, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: низкой, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: плот-, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
