Text: а, Number: none, Confidence: none, Bbox: none
Text: алело, Number: none, Confidence: none, Bbox: none
Text: ана, Number: none, Confidence: none, Bbox: none
Text: момента, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: гетерозиторей., Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: нормальных, Number: none, Confidence: none, Bbox: none
Text: аллелей, Number: none, Confidence: none, Bbox: none
Text: ан, Number: none, Confidence: none, Bbox: none
Text: да, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: норм, Number: none, Confidence: none, Bbox: none
Text: фенолу, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: 0,553, Number: none, Confidence: none, Bbox: none
Text: доминирует, Number: none, Confidence: none, Bbox: none
Text: гомозиготами, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: сере, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: розгами, Number: none, Confidence: none, Bbox: none
Text: Частота, Number: none, Confidence: none, Bbox: none
Text: марают, Number: none, Confidence: none, Bbox: none
Text: фенотипа, Number: none, Confidence: none, Bbox: none
Text: 1:1000, Number: none, Confidence: none, Bbox: none
Text: Частота, Number: none, Confidence: none, Bbox: none
Text: затакт, Number: none, Confidence: none, Bbox: none
Text: омлет, Number: none, Confidence: none, Bbox: none
Text: д, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: дается, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Второе, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: наблюдается, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: тыся, Number: none, Confidence: none, Bbox: none
Text: очень, Number: none, Confidence: none, Bbox: none
Text: именная, Number: none, Confidence: none, Bbox: none
Text: высоко, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: дале, Number: none, Confidence: none, Bbox: none
Text: правд, Number: none, Confidence: none, Bbox: none
Text: буравов, Number: none, Confidence: none, Bbox: none
Text: не-я, Number: none, Confidence: none, Bbox: none
Text: ал, Number: none, Confidence: none, Bbox: none
Text: того, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: головном, Number: none, Confidence: none, Bbox: none
Text: вокруг, Number: none, Confidence: none, Bbox: none
Text: поступа, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: людей, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: длительном, Number: none, Confidence: none, Bbox: none
Text: Батором, Number: none, Confidence: none, Bbox: none
Text: повыш, Number: none, Confidence: none, Bbox: none
Text: артерии, Number: none, Confidence: none, Bbox: none
Text: давлении, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: возникало, Number: none, Confidence: none, Bbox: none
Text: отечность, Number: none, Confidence: none, Bbox: none
Text: них, Number: none, Confidence: none, Bbox: none
Text: конечностей, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: вызывает, Number: none, Confidence: none, Bbox: none
Text: оценили, Number: none, Confidence: none, Bbox: none
Text: синдромнарушение, Number: none, Confidence: none, Bbox: none
Text: баланса, Number: none, Confidence: none, Bbox: none
Text: клубнич, Number: none, Confidence: none, Bbox: none
Text: дверьми, Number: none, Confidence: none, Bbox: none
Text: предложения, Number: none, Confidence: none, Bbox: none
Text: предмет, Number: none, Confidence: none, Bbox: none
Text: соврем, Number: none, Confidence: none, Bbox: none
Text: сумчатых, Number: none, Confidence: none, Bbox: none
Text: битами, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: древнем, Number: none, Confidence: none, Bbox: none
Text: кинза, Number: none, Confidence: none, Bbox: none
Text: сум, Number: none, Confidence: none, Bbox: none
Text: кута, Number: none, Confidence: none, Bbox: none
Text: теории, Number: none, Confidence: none, Bbox: none
Text: На, Number: none, Confidence: none, Bbox: none
Text: Земле, Number: none, Confidence: none, Bbox: none
Text: представляла, Number: none, Confidence: none, Bbox: none
Text: один, Number: none, Confidence: none, Bbox: none
Text: нашему, Number: none, Confidence: none, Bbox: none
Text: времени, Number: none, Confidence: none, Bbox: none
Text: образования, Number: none, Confidence: none, Bbox: none
Text: дор, Number: none, Confidence: none, Bbox: none
Text: материалу, Number: none, Confidence: none, Bbox: none
Text: географической, Number: none, Confidence: none, Bbox: none
Text: изоляции, Number: none, Confidence: none, Bbox: none
Text: появились, Number: none, Confidence: none, Bbox: none
Text: туриной, Number: none, Confidence: none, Bbox: none
Text: новые, Number: none, Confidence: none, Bbox: none
Text: виды, Number: none, Confidence: none, Bbox: none
Text: сумчатые, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: сум, Number: none, Confidence: none, Bbox: none
Text: кута, Number: none, Confidence: none, Bbox: none
Text: теории, Number: none, Confidence: none, Bbox: none
Text: На, Number: none, Confidence: none, Bbox: none
Text: Земле, Number: none, Confidence: none, Bbox: none
Text: представляла, Number: none, Confidence: none, Bbox: none
Text: суббота, Number: none, Confidence: none, Bbox: none
Text: один, Number: none, Confidence: none, Bbox: none
Text: нашему, Number: none, Confidence: none, Bbox: none
Text: времени, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: образования, Number: none, Confidence: none, Bbox: none
Text: Дор., Number: none, Confidence: none, Bbox: none
Text: на-, Number: none, Confidence: none, Bbox: none
Text: материалу, Number: none, Confidence: none, Bbox: none
Text: географической, Number: none, Confidence: none, Bbox: none
Text: изоляции, Number: none, Confidence: none, Bbox: none
Text: появились, Number: none, Confidence: none, Bbox: none
Text: тёриной,, Number: none, Confidence: none, Bbox: none
Text: новые, Number: none, Confidence: none, Bbox: none
Text: виды, Number: none, Confidence: none, Bbox: none
Text: сумчатые, Number: none, Confidence: none, Bbox: none
