Text: рус, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: жирафы, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: обитают, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: в, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: пустынях, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: чтобы, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: ходить, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: по, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: раскалёнкаму,, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: гордому, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: песку, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: у, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: них, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: произошли, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: данные, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: изменения, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: -с, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: Отечность, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: нижних, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: конечностей, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: у, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: людей, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: возникает, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: из-за, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: высокой, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: пульсации, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: крови, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: что, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: обуславливается, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: повышенным, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: артериальным, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: давлением, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: no26, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: -с, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: поселение, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: сумчатых, Number: 22, Confidence: 0.33, Bbox: [15.06216049194336, 1203.6842041015625, 2309.83740234375, 1757.837158203125]
Text: могло, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: произойти, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: в, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: результате, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: изменения, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: ареала, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: происходили, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: муксуний, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: не, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: могли, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: скрещиваться, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: между, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: собой, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: что, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: обуюсь, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: обусловлено, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: географической, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: изоляцией, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: весов, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: что, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: обусь, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: обусловлено, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: географической, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: изоляцией, Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
Text: весов., Number: 24, Confidence: 0.49, Bbox: [6.164914131164551, 1711.9635009765625, 2304.026123046875, 2433.962646484375]
