Text: сочной, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: ослепительная, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: ткань, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: вооруж, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: санитаров, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: играет, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: сокра, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: защитную, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: роль, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: продолжительное, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: повышенное, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: артериальное, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: давление, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: тому, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: крови, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: в, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: артериях, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: более, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: искрошу, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: и, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: капиталах, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: и, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: перекалки, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: большего, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: объема, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: крови, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: -с, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: давление, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: влаж, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: сладос, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: крови, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: режиме, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: -де, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: всему, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: просьб, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: не, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: условиях, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: и, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: значит, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: более, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: и, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: бенку, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: веществ, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: одному, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: интенсивному, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: у, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: более, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: массивный, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: сумел, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: веществ, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: способствует, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: большему, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: объему, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: -де, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: одним, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: из, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: продуктов, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: Гомеля, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: веществ, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: является, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: шишкова, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: ракеточной, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: клеточное, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: вещество, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: такая, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: которого, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: -де, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: лимфатические, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: на, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: сосудик, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: лимфа, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: условной, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: перегулять, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: весь, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: объем, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: и, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: наст, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: заставится, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: в, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: замкнули, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: мастях, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: сосудов, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: которые, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: которые, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
