Text: доминантного, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: снижению, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: доли, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: развешивать, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: о, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: голодном, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: во, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: всей, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: человеческой, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: популяр, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: может, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: приводить, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: естественный, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: стор, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: -де, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: -с, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: р, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: д, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: ха, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: ха, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: в, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: ходе, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: нормальное, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: развитие, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: кисти, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: нет, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: гипертрихоза, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: молчания, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: развития, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: кисти, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: гипертрихоз, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: шкроесоверные, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: проессеевершие, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: -с, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: монотипы, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: пиголица, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: дочерей, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: ха, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: -с, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: нормальное, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: развитие, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: нет, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: гипертрихоза, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: ха, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: ха, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: -с, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: немолода, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: развития, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: кисти, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: гипертрихоз, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: биотипы, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: биотипы, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: сыновей, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: -с, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: ув, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: вешания, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: развития, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: кисти, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: интертрикоз, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: охаяв, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: анормальное, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: развитие, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: кисти, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: гипертрихоз, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: х, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: о, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: хауса, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: Бомарше, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: развития, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: кисти, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: нет, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: гипертрихоза, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: нормальное, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: развитие, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: кисту, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: ит, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: гипертрихоза, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: развитие, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: кисту, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: ит, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: инертрчхоза, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
