Text: 20.1)пакой, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: к, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: данному, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: лекарственному, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: препарату, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: и, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: они, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: перестанут, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: воспринимать, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: его, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: то, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: есть, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: эффекта, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: от, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: введения, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: большей, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: концентрации, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: большого, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: количества, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: лекарственного, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: препарат, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: не, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: будет, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: -с, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: Также, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: не, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: будет, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: видно, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: конкретных, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: изменений, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: количества, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: вирусных, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: частиц, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: в, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: образце, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: таем, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: то, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: есть, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: не, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: будет, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: понятно, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: эффективно, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: ли, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: этот, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: лекарственный, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: препарат, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: против, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: вируса, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: иммунодефицита, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: человека, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: -с, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: статьи, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: отрицательный, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: контроль, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: необходимо, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: Нормальная, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: при, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: постановке, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: отрицат, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: Постановка, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: отрицательного, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: контроля, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: Заключается, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: в, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: том, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: что, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: необходимо, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: клетку, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: зараженную, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: вирусом, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: иммунодефиците, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: оставить, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: без, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: добавления, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: мления, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: в, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: не, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: лекарственного, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: препарат, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: сохранением, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: и, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: других, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: показа, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: отелей, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: -с, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: Именно, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: таким, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: отрицательным, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: контролем, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: будет, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: ВИДНА, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: эффективность, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: лекарственного, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: препарата, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: против, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: вируса, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: 23.1), Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: нет, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: нельзя, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: утверждать, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: что, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: тестируемый, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: препарат, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: препарат, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: разрушает, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: Вирусные, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: частицы, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: потому, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: что, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: спустя, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: -с, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: часов, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: после, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: добавления, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: в, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: а, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: и, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: а, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: опыте, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: добавления, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: в, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: 1, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: и, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: 3, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: опыте, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
