Text: са, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Пища, Number: none, Confidence: none, Bbox: none
Text: условный, Number: none, Confidence: none, Bbox: none
Text: раздражитель, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: пищевой, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: головного, Number: none, Confidence: none, Bbox: none
Text: мозга, Number: none, Confidence: none, Bbox: none
Text: слюноотделения, Number: none, Confidence: none, Bbox: none
Text: выделение, Number: none, Confidence: none, Bbox: none
Text: слюны, Number: none, Confidence: none, Bbox: none
Text: свет, Number: none, Confidence: none, Bbox: none
Text: новый, Number: none, Confidence: none, Bbox: none
Text: условный, Number: none, Confidence: none, Bbox: none
Text: раздражитель, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: зрительный, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: головного, Number: none, Confidence: none, Bbox: none
Text: морасовместное, Number: none, Confidence: none, Bbox: none
Text: взаимодействие, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: зрительного, Number: none, Confidence: none, Bbox: none
Text: центровцентр, Number: none, Confidence: none, Bbox: none
Text: слюноотделения, Number: none, Confidence: none, Bbox: none
Text: слюны, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: жирафа, Number: none, Confidence: none, Bbox: none
Text: масса, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: поверхности, Number: none, Confidence: none, Bbox: none
Text: тела, Number: none, Confidence: none, Bbox: none
Text: боль, Number: none, Confidence: none, Bbox: none
Text: ше, Number: none, Confidence: none, Bbox: none
Text: чем, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: следовательно, Number: none, Confidence: none, Bbox: none
Text: жираф, Number: none, Confidence: none, Bbox: none
Text: должен, Number: none, Confidence: none, Bbox: none
Text: иметь, Number: none, Confidence: none, Bbox: none
Text: более, Number: none, Confidence: none, Bbox: none
Text: высокое, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: ч, Number: none, Confidence: none, Bbox: none
Text: чтобы, Number: none, Confidence: none, Bbox: none
Text: разнести, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: всему, Number: none, Confidence: none, Bbox: none
Text: телу, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: ко, Number: none, Confidence: none, Bbox: none
Text: всем, Number: none, Confidence: none, Bbox: none
Text: органам, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: высокое, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: быстро, Number: none, Confidence: none, Bbox: none
Text: разносит, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: кислородом, Number: none, Confidence: none, Bbox: none
Text: но, Number: none, Confidence: none, Bbox: none
Text: органы, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: устают, Number: none, Confidence: none, Bbox: none
Text: его, Number: none, Confidence: none, Bbox: none
Text: усвоить, Number: none, Confidence: none, Bbox: none
Text: нижние, Number: none, Confidence: none, Bbox: none
Text: поэтому, Number: none, Confidence: none, Bbox: none
Text: мышцам, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: хватает, Number: none, Confidence: none, Bbox: none
Text: клистрона, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: искажаются, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: отекают, Number: none, Confidence: none, Bbox: none
Text: конечности, Number: none, Confidence: none, Bbox: none
Text: начинают, Number: none, Confidence: none, Bbox: none
Text: отекать, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: хватает, Number: none, Confidence: none, Bbox: none
Text: кистрода,, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: отскажаются,, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: отекают, Number: none, Confidence: none, Bbox: none
Text: конечности, Number: none, Confidence: none, Bbox: none
Text: начинают, Number: none, Confidence: none, Bbox: none
Text: отекать., Number: none, Confidence: none, Bbox: none
