Text: отпуска, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: -с, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: от, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: за, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: у, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: а, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: нормальная, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: кисть, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: нет, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: гипертрихоза, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: аномалия, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: в, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: развитии, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: раза, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: гипертрихоз, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: жести, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: рекрасоверные:, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: кроссовере, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: ау, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: ав, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: а, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: ха, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: ха, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: Я, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: нормальная, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: кисть, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: нет, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: гипертрихоза, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: Ха, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: аномалия, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: в, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: развитии, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: истине, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: гипертрихоза, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: бацало, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: анналами, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: в, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: развитии, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: гипертрихоз, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: ха, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: зуав, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: нормальная, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: жесть, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: гипертрихоз, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: см, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: лист, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: а, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: жесть, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: (гипертрихоз, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: см., Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: лист, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: 3, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
