Text: вую, Number: none, Confidence: none, Bbox: none
Text: жирафа, Number: none, Confidence: none, Bbox: none
Text: рост, Number: none, Confidence: none, Bbox: none
Text: значительно, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: жирафов, Number: none, Confidence: none, Bbox: none
Text: бо, Number: none, Confidence: none, Bbox: none
Text: артериях, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: будет, Number: none, Confidence: none, Bbox: none
Text: выше, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Наиболее, Number: none, Confidence: none, Bbox: none
Text: ше, Number: none, Confidence: none, Bbox: none
Text: южной, Number: none, Confidence: none, Bbox: none
Text: части, Number: none, Confidence: none, Bbox: none
Text: предки, Number: none, Confidence: none, Bbox: none
Text: могли, Number: none, Confidence: none, Bbox: none
Text: обитать, Number: none, Confidence: none, Bbox: none
Text: материка, Number: none, Confidence: none, Bbox: none
Text: перигея, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Поскольку, Number: none, Confidence: none, Bbox: none
Text: Австралия, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: вслед, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: ней, Number: none, Confidence: none, Bbox: none
Text: Южная, Number: none, Confidence: none, Bbox: none
Text: Америка, Number: none, Confidence: none, Bbox: none
Text: делились, Number: none, Confidence: none, Bbox: none
Text: раньше, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: общего, Number: none, Confidence: none, Bbox: none
Text: материка, Number: none, Confidence: none, Bbox: none
Text: отде, Number: none, Confidence: none, Bbox: none
Text: то, Number: none, Confidence: none, Bbox: none
Text: предки, Number: none, Confidence: none, Bbox: none
Text: сумчатых, Number: none, Confidence: none, Bbox: none
Text: потеряли, Number: none, Confidence: none, Bbox: none
Text: возможность, Number: none, Confidence: none, Bbox: none
Text: переместиться, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: другие, Number: none, Confidence: none, Bbox: none
Text: существ, Number: none, Confidence: none, Bbox: none
Text: вую, Number: none, Confidence: none, Bbox: none
Text: современные, Number: none, Confidence: none, Bbox: none
Text: континенты, Number: none, Confidence: none, Bbox: none
Text: Из-за, Number: none, Confidence: none, Bbox: none
Text: общей, Number: none, Confidence: none, Bbox: none
Text: особенности, Number: none, Confidence: none, Bbox: none
Text: строения, Number: none, Confidence: none, Bbox: none
Text: сумчатые, Number: none, Confidence: none, Bbox: none
Text: нотные, Number: none, Confidence: none, Bbox: none
Text: начали, Number: none, Confidence: none, Bbox: none
Text: вести, Number: none, Confidence: none, Bbox: none
Text: схожий, Number: none, Confidence: none, Bbox: none
Text: образ, Number: none, Confidence: none, Bbox: none
Text: жизни, Number: none, Confidence: none, Bbox: none
Text: жить, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: примерно, Number: none, Confidence: none, Bbox: none
Text: одинаки, Number: none, Confidence: none, Bbox: none
Text: пр, Number: none, Confidence: none, Bbox: none
Text: итак, Number: none, Confidence: none, Bbox: none
Text: акров, Number: none, Confidence: none, Bbox: none
Text: новых, Number: none, Confidence: none, Bbox: none
Text: ареалах, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: потреблять, Number: none, Confidence: none, Bbox: none
Text: общую, Number: none, Confidence: none, Bbox: none
Text: кормовую, Number: none, Confidence: none, Bbox: none
Text: базу, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: рейса, Number: none, Confidence: none, Bbox: none
Text: континентов, Number: none, Confidence: none, Bbox: none
Text: равновесная, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: аллея, Number: none, Confidence: none, Bbox: none
Text: встречаемого, Number: none, Confidence: none, Bbox: none
Text: заболевания, Number: none, Confidence: none, Bbox: none
Text: 1:10000, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: равно, Number: none, Confidence: none, Bbox: none
Text: десная, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: аллелям, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: аф, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: 10,0001, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: аллеля, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: (ф)=, Number: none, Confidence: none, Bbox: none
Text: =, Number: none, Confidence: none, Bbox: none
Text: 10,0001, Number: none, Confidence: none, Bbox: none
