Text: г, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: гипертрихоз, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: -с, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: -с, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: -де, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: -с, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: -с, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: (ayb), Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: драхму, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: комами, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: в, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: кисти, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: в, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: бахус, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: камелия, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: в, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: книге, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: без, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: гипертрихоза, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: в, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: дах, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: нормальное, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: развитие, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: кисту, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: без, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: гипертрихоз, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: вихрь, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: нормальное, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: развитие, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: в, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: класс, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: гипертрихоз, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: -с, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: а, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: -с, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: а, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: а, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: -с, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: ломался, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: в, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: кисти, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: без, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: гипертрихоза, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: а, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: а, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: Х, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: Р, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: В, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: нормальное, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: разбитие, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: кисти, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: без, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: без, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: гипертиреоза, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: -с, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: а, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: а, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: -с, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: -с, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: а, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: А, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: ах, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: кв, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: кисти, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: без, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: гипертрихоза, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: панамами, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: ь, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: а, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: кисти, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: без, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: интервента, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: а, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: хв, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: дамах, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: а, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: балахна, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: нормальное, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: развитие, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: кисти, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: без, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: гипертрихоза, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: нормальное, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: развитие, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: кисти, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: без, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: гипертоника, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: -с, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: Рождение, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: в, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: первом, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: браке, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: ребенка, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: с, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: нормальным, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: развитием, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: кисти, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: и, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: с, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: гипертрихозом, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: возможно, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: от, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: гаметы, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: мамы, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: бяху, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: и, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: гаметы, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: папы, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: а, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: v22., Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: -с, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: Такой, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: отрицательный, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: контроль, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: является, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: неадекватным, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: так, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: ка, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: исследователь, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: не, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: поймет, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: влияния, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: противовирусных, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: препарата, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: купленных, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: в, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: аптеке, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: на, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: вирусные, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: частицы, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: и, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: здесь, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: объект, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: подвергался, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: экспериментальному, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: бездейст, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: действию, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: хотя, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: не, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: должно, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: удействию,, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: хотя, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: не, Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
Text: должно., Number: 24, Confidence: 0.58, Bbox: [32.324859619140625, 1894.4857177734375, 2310.0, 2587.901611328125]
