Text: рецессивные, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: Отец, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: аномальным, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: развитием, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: кисти, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: гипертрихозом, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: Его, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: генотип, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: Составим, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: икему, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: скрещивания, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: -с, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: У, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: норм, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: жисть, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: без, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: гипертрихоз, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: рисом, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: прояв, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: кисть, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: пепертрахоз., Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: -с, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: норм, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: баком, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: красти, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: адом, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: кисти, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: хруст, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: корм, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: аисты, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
