Text: Тасманией, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: собака, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: прыщет, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: так, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: будет, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: думать, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: что, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: ты, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: собрался, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: е, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: кропить, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: глазами/ушами, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: замечаем, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: сигнал, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: пикал, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: передается, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: в, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: подг, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: мог, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: отправляет, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: сигнал, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: в, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: слюнную, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: темперу, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: -де, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: выделяется, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: спича, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: У, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: штрафа, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: длинная, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: шея, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: чтобы, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: Такое, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: высокое, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: давление, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: нужно, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: кровь, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: смогла, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: подается, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: до, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: мозга, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: У, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: людей, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: появляется, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: отечность, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: смотреть, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: лист, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: -де, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: лист, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: No3, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
