Text: случае, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: меняться, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: менять, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: свои, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: комбинации, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: генов, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: стать, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: устойчивым, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: к, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: препарату, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: no24, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: -с, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: На, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: а, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: так, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: лампочка, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: переулочный, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: раздражитель, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: выключена, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: -с, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: реакторный, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: центр, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: слюноотделительного, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: рефлекса, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: расположен, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: в, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: продолговатом, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: муче, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: -де, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: Различие, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: вежду, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: безусловным, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: и, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: инстинктом, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: заключается, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: в, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: том, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: что, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: инстинкт, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: закладывается, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: в, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: эшфиомальной, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: стадии, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: и, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: не, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: связан, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: с, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: организм, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: -с, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: элементы, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: рефлекторной, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: душ, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: сетчатка, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: чувствительный, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: нейрон, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: кора, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: больших, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: полушарий, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: центр, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: зрения, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: временная, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: связь, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: центр, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: слюноотделения, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: продолговатый, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: мозг, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: двигательный, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: нейрон, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: выделение, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: слюны, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: no25, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: абу, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: жирафов, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: в, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: дюнных, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: артериях, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: высокое, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: артериальное, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: давление, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: так, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: как, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: у, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: них, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: длинная, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: шея, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: и, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: у, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: них, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: длинная, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: шея, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: и, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
