Text: p.a., Number: 28, Confidence: 0.50, Bbox: [17.03471565246582, 0.0, 2300.55517578125, 2352.94580078125]
Text: норма, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: икорная, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: Рождения, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: в, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: первом, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: браке, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: ребенка, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: с, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: нормальным, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: радием, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: и, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: с, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: гипертрихозом, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: возможно, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: так, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: как, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: была, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: гомозигота, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: нормальная, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: мать, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: и, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: отец, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: с, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: гипертрихозом, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: no24, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: -с, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: На, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: рисунке, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: Г, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: -с, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: Расположен, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: в, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: мору, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: под, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: цифрой, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: -с, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: цифрой, Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
Text: 2., Number: 23, Confidence: 0.33, Bbox: [5.7998456954956055, 1240.4637451171875, 2295.24609375, 2552.368896484375]
