Text: ~22), Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: -с, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: питательный, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: контроль, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: -с, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: плеток, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: вирусом, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: иммунодефицита, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: человека, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: -де, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: Можно, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: считать, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: что, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: тестируемый, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: препарат, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: разрушает, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: вирусные, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: частицы, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: потому, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: что, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: после, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: внесения, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: препарата, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: в, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: следующие, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: -с, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: часа, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: наблюдалось, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: незначительное, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: агентские, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: числа, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: вирусных, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: частиц, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: в, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: клетках, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: -с, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: Влияние, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: препарата, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: на, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: целостность, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: вирусных, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: частиц, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: позволяет, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: установить, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: метод, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: микроскопирования, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: -с, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: усложняет, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: разработку, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: противовирусных, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: препаратов, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: особенности, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: жизненного, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: липла, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: а, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: вирусов, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: такие, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: как, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: проникновения, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: вируса, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: в, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: клетку, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: и, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: последующий, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: синтез, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: вирусных, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: белков, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: Адена, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: рисунке, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: А, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: изображен, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: безусловный, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: рефлекс, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: слюно, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: отделения, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: и, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: отсутствует, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: безразличный, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: раздражитель, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: у, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: собаки, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: выделяется, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: слюна, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: при, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: виде, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: пищи, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: и, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: на, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: это, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: не, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: действуют, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: другие, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: факторы, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: -с, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: Рефлекторный, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: центр, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: безусловно, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: слюноотделения, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: располагается, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: в, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: продолговатом, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: мозге, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: мозге., Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
