Text: сохранились, Number: 27, Confidence: 0.44, Bbox: [49.76688003540039, 54.229095458984375, 2271.60693359375, 260.6920166015625]
Text: мать, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: мужа, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: из, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: а, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: брака, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: но, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: е, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: залиты, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: не, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: передались, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: генотипы, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: ХА, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: генотипы, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: и, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: линотипы, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: девочек, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: здоровая, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: кисть, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: нет, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: захааномалия, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: кисти, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: нет, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: и, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: генотипы, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: мальчиков, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: здоровая, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: кость, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: мономания, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: кисти, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: в, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: а, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: браке, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: рождения, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: ребенка, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: нормальным, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: кисти, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: и, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: гипертрихозом, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: мальчик, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: д, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: брак, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: за, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: кисти, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: на, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: рука, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: кис, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: отсутствие, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: кисти, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: отсутствие, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: аномашия, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: кисти,, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: отсутствие, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
Text: гипертрихада, Number: 28, Confidence: 0.95, Bbox: [21.757387161254883, 275.72943115234375, 2305.817626953125, 2590.0]
