Text: жение, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: кисть, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: нет, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: о, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: порам, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: кисть, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: хв, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: запой, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: кисть, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: нет, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: клипер, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: жисть, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: -де, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: д, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: пори, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: кисть, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: нет, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: пишется, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: о, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: пори, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: кисте, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: нет, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: гиперстен, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: кисть, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: воняй, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: нет, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: диметр, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: я, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: капом, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: кисть, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: нет, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: гиперонах, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: Рождение, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: в, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: первом, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: браке, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: ребенка, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: с, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: нормальным, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: развитием, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: и, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: с, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: гипертрихозом, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: возможно, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: -с, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: потомок, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: Х, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: гамета, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: Х, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: досталась, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: от, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: матери, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: и, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: несмот, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: рецессивный, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: емель, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: нормальной, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: а, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: глиста, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: досталась, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: от, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: отца, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: и, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: несет, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: рецессивный, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: аллель, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: нормальной, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: а, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: благодаря, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: чему, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: у, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: ребенка, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: здоровья, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: кисть, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: а, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: также, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: аллель, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: вызывающий, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: в, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: рецессивном, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: состоянии, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: приперт, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: хоз, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: последует, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: по, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: меандрическому, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: типу, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: поэтому, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: аллель, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: в, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: не, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: подавляется, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: ав, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: материнской, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: см, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: см., Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
