Text: Составим, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: разв, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: пистик, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: -с, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: игом, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: без, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: скипетр, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: без, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: вперта, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: перетри, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: солоде, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: потом, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: ство, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: том, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: осущ, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: получатся, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: из, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: для, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: цвит, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: веке, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: В, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: первом, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: без, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: вперты, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: возможно, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: браке, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: рождение, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: а, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: корм, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: развитием, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: кисти, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: и, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: гипертрихозом, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: случае, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: его, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: removen, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: будет, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: в, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: Вероятность, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: рождения, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: ребенка, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: признаками, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: ребенка, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: вашими, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: ребёнка, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
Text: ташими, Number: 24, Confidence: 0.38, Bbox: [12.952025413513184, 1289.389404296875, 2294.409423828125, 1934.404541015625]
