Text: умильности, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: дичусь, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: дирижирую, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: президент, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: через, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: перед, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: клетки, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: начинает, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: надрастать, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: союз, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: следователю, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: тканевая, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: вишневая, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: рас, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: распет, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: количество, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: и, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: по, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: различу, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: конкретно, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: цили, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: живность, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: поступает, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: в, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: клетки, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: от, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: чего, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: и, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: отечность, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: no26., Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: В, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: Южной, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: Америке, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: теп, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: Эволюционно, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: ближайший, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: п, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: предел, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: виз, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: одного, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: о, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: считает, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: в, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: России, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: жить, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: карт, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: про, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: америке, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: п, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: искази, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: из, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: ранее, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: скоро, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: из, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: средство, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: теории, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: зальчик, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: года, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: года, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: вал, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: единый, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: материк, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: на, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: котором, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: территории, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: современной, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: рентной, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
Text: Америки, Number: 23, Confidence: 0.45, Bbox: [61.358917236328125, 1557.91357421875, 2297.72998046875, 2588.327392578125]
