Text: вещества, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: частиц, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: спустя, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: -с, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: часа, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: уменьшилось, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: -с, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: Вирусы, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: нестро, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: размножаются, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: -с, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: Быстро, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: распространяются, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: по, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: телу, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: -с, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: А, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: безусловный, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: рефлекс, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: слюноотделения, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: и, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: отсутствия, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: различного, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: раздражителя, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: -с, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: безусловный, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: ребрпекерефлекс, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: тленный, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: с, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: рождение, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: безусловный, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: рефлекс, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: передается, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: от, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: псиного, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: слизка, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: до, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: коры, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: головного, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: мозга, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: -с, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: безусловный, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: рефлексрежан, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: прибор, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: матвеевной, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: раз, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: и, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: до, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: конца, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: жизни, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: Инстинкты, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: анты, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: иногда, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: не, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: несут, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: в, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: себе, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: жизненно, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: важные, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: замыкание, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: потребно, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: небность, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: в, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: пище, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: -с, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: -де, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: географическая, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: пище), Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: No, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: 26., Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: географическая, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
