Text: изменений, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: таблице, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: динамика, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: теснение, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: количества, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: вирусных, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: частиц, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: спадете, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: жительствует, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: о, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: том, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: почти, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: что, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: количество, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: вид, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: част, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: у, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: у, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: всех, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: испытую, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: туе, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: пушных, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: не, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: меняется, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: после, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: внесения, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: препарата, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: -с, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: препарат, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: неэффективен, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: -с, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: Экст, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: вибрион, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: впрыскивает, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: в, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: организм, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: пыжиковую, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: по, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: которой, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: организм, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: будет, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: синтезировать, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: жирн, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: Также, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: вирусы, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: размножаются, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: строго, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: внутри, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: организма, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: веду, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: паразитический, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: образ, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: жизни, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: -де, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: Рисунок, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: на, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: котором, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: изображен, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: Тефии, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: безусловный, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: рейсом, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: вошке, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: самон, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: слюноотделение, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: и, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: отсутствует, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: резорцин, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: личный, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: раздражиткута, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: тель, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: ю, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: Безусловный, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: рефлекс, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: врожденном, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: реакции, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: органов, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: выработанная, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: эволюционным, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: процесс, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: сом, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: и, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: передававшая, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: по, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: наследству, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: инстинкнавык, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: для, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: выбивания, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: полотен, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: живой, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: моргам, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: не, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: изменениям, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: а, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: в, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: челов, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: с, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: инстинктами, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: то, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: есть, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: живое, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: существо, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: рождает, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: ему, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: не, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: обучается, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: эволюции, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: факторестественный, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: отбор, Number: 22, Confidence: 0.31, Bbox: [29.927955627441406, 1430.78369140625, 2276.008056640625, 2318.9873046875]
Text: о, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: истребляет, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: голу, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: в, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: учи, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: нотное, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: потомство, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: встречи, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: рецессивных, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: признаков, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: и, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: голу, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: в, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: учи, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: готное, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: потомство, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: путём, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: встречи, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: рецессивных, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: признаков, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
Text: и, Number: 24, Confidence: 0.37, Bbox: [22.875070571899414, 2281.156982421875, 2275.875, 2590.0]
