Text: ханом, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: Нет, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: перце, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: хау, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: мужика, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: Нет, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: Аналогии, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: веслищ, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: Нет, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: непир, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: -с, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: Да, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: возможно, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: плаща, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: в, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: -с, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: так, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: помаялся, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: крести, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: оцеплен, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: года, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: с, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: полом, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: и, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: возможен, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: крочетовер., Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: и, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: возможем, Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
Text: крочетовер., Number: 28, Confidence: 0.87, Bbox: [33.01942825317383, 0.0, 2310.0, 2564.72314453125]
