Text: мание, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: влияет, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: количество, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: образце, Number: none, Confidence: none, Bbox: none
Text: Для, Number: none, Confidence: none, Bbox: none
Text: синусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: краеведения, Number: none, Confidence: none, Bbox: none
Text: операбельного, Number: none, Confidence: none, Bbox: none
Text: контроля, Number: none, Confidence: none, Bbox: none
Text: путеше, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: аджика, Number: none, Confidence: none, Bbox: none
Text: зараженным, Number: none, Confidence: none, Bbox: none
Text: вирусом, Number: none, Confidence: none, Bbox: none
Text: млением, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: добавить, Number: none, Confidence: none, Bbox: none
Text: исследуемый, Number: none, Confidence: none, Bbox: none
Text: малоизвестный, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: другим, Number: none, Confidence: none, Bbox: none
Text: зараженным, Number: none, Confidence: none, Bbox: none
Text: вирусом, Number: none, Confidence: none, Bbox: none
Text: клеткам, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: добавлять, Number: none, Confidence: none, Bbox: none
Text: исходный, Number: none, Confidence: none, Bbox: none
Text: лекарственный, Number: none, Confidence: none, Bbox: none
Text: прапора, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: посмотреть, Number: none, Confidence: none, Bbox: none
Text: действительно, Number: none, Confidence: none, Bbox: none
Text: ли, Number: none, Confidence: none, Bbox: none
Text: этот, Number: none, Confidence: none, Bbox: none
Text: лекарственный, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: влияет, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: вирусные, Number: none, Confidence: none, Bbox: none
Text: частицы, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: ул, Number: none, Confidence: none, Bbox: none
Text: уменьшает, Number: none, Confidence: none, Bbox: none
Text: ин, Number: none, Confidence: none, Bbox: none
Text: количество, Number: none, Confidence: none, Bbox: none
Text: или, Number: none, Confidence: none, Bbox: none
Text: наш, Number: none, Confidence: none, Bbox: none
Text: Остальные, Number: none, Confidence: none, Bbox: none
Text: параметры, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: эксперименте, Number: none, Confidence: none, Bbox: none
Text: очинивать, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: изменений, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: Нельзя, Number: none, Confidence: none, Bbox: none
Text: уговорилась, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: несторусмот, Number: none, Confidence: none, Bbox: none
Text: претерпят, Number: none, Confidence: none, Bbox: none
Text: разрушил, Number: none, Confidence: none, Bbox: none
Text: круглы, Number: none, Confidence: none, Bbox: none
Text: вирусные, Number: none, Confidence: none, Bbox: none
Text: чайницы, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: результатам, Number: none, Confidence: none, Bbox: none
Text: нескольких, Number: none, Confidence: none, Bbox: none
Text: экспериментов, Number: none, Confidence: none, Bbox: none
Text: значительного, Number: none, Confidence: none, Bbox: none
Text: увеличения, Number: none, Confidence: none, Bbox: none
Text: или, Number: none, Confidence: none, Bbox: none
Text: значительного, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: уменьшения, Number: none, Confidence: none, Bbox: none
Text: количества, Number: none, Confidence: none, Bbox: none
Text: сущ, Number: none, Confidence: none, Bbox: none
Text: вырученных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: наблюдалось, Number: none, Confidence: none, Bbox: none
Text: Метод, Number: none, Confidence: none, Bbox: none
Text: электронная, Number: none, Confidence: none, Bbox: none
Text: микроскопия, Number: none, Confidence: none, Bbox: none
Text: вирусы, Number: none, Confidence: none, Bbox: none
Text: являются, Number: none, Confidence: none, Bbox: none
Text: струга, Number: none, Confidence: none, Bbox: none
Text: внутриклеточными, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: синтезируют, Number: none, Confidence: none, Bbox: none
Text: новый, Number: none, Confidence: none, Bbox: none
Text: мистический, Number: none, Confidence: none, Bbox: none
Text: закутал, Number: none, Confidence: none, Bbox: none
Text: другой, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: счет, Number: none, Confidence: none, Bbox: none
Text: млением, Number: none, Confidence: none, Bbox: none
Text: та, Number: none, Confidence: none, Bbox: none
Text: которой, Number: none, Confidence: none, Bbox: none
Text: паразитируют, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: результате, Number: none, Confidence: none, Bbox: none
Text: синтеза, Number: none, Confidence: none, Bbox: none
Text: клевого, Number: none, Confidence: none, Bbox: none
Text: генетического, Number: none, Confidence: none, Bbox: none
Text: материала, Number: none, Confidence: none, Bbox: none
Text: вируса, Number: none, Confidence: none, Bbox: none
Text: происходили, Number: none, Confidence: none, Bbox: none
Text: постоянная, Number: none, Confidence: none, Bbox: none
Text: перекалебинадия, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: выработывает, Number: none, Confidence: none, Bbox: none
Text: силовые, Number: none, Confidence: none, Bbox: none
Text: приспособления, Number: none, Confidence: none, Bbox: none
Text: помогают, Number: none, Confidence: none, Bbox: none
Text: противостать, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: вирус, Number: none, Confidence: none, Bbox: none
Text: постоянного, Number: none, Confidence: none, Bbox: none
Text: искорсиветным, Number: none, Confidence: none, Bbox: none
Text: агрепарашам,, Number: none, Confidence: none, Bbox: none
Text: которыми, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: эти, Number: none, Confidence: none, Bbox: none
Text: вирусы, Number: none, Confidence: none, Bbox: none
Text: действуют, Number: none, Confidence: none, Bbox: none
Text: Также, Number: none, Confidence: none, Bbox: none
Text: жизненный, Number: none, Confidence: none, Bbox: none
Text: ушил, Number: none, Confidence: none, Bbox: none
Text: вируса, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: скорость, Number: none, Confidence: none, Bbox: none
Text: его, Number: none, Confidence: none, Bbox: none
Text: размножения, Number: none, Confidence: none, Bbox: none
Text: очень, Number: none, Confidence: none, Bbox: none
Text: высоки, Number: none, Confidence: none, Bbox: none
Text: поэтому, Number: none, Confidence: none, Bbox: none
Text: становится, Number: none, Confidence: none, Bbox: none
Text: сложнее, Number: none, Confidence: none, Bbox: none
Text: разрабатывают, Number: none, Confidence: none, Bbox: none
Text: противовирусный, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
