Text: над, Number: none, Confidence: none, Bbox: none
Text: будет, Number: none, Confidence: none, Bbox: none
Text: копиться, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: итоге, Number: none, Confidence: none, Bbox: none
Text: вызыва, Number: none, Confidence: none, Bbox: none
Text: отечность, Number: none, Confidence: none, Bbox: none
Text: нижних, Number: none, Confidence: none, Bbox: none
Text: конечностей, Number: none, Confidence: none, Bbox: none
Text: р, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: Ч, Number: none, Confidence: none, Bbox: none
Text: отображен, Number: none, Confidence: none, Bbox: none
Text: безусловной, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: На, Number: none, Confidence: none, Bbox: none
Text: рисунке, Number: none, Confidence: none, Bbox: none
Text: На, Number: none, Confidence: none, Bbox: none
Text: рисунке, Number: none, Confidence: none, Bbox: none
