Text: центр, Number: none, Confidence: none, Bbox: none
Text: плотная, Number: none, Confidence: none, Bbox: none
Text: ткань, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: давно, Number: none, Confidence: none, Bbox: none
Text: длительном, Number: none, Confidence: none, Bbox: none
Text: повышенном, Number: none, Confidence: none, Bbox: none
Text: артериальном, Number: none, Confidence: none, Bbox: none
Text: велении, Number: none, Confidence: none, Bbox: none
Text: возникать, Number: none, Confidence: none, Bbox: none
Text: наших, Number: none, Confidence: none, Bbox: none
Text: конечностей, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: высоком, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: будет, Number: none, Confidence: none, Bbox: none
Text: выбрасываться, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: большому, Number: none, Confidence: none, Bbox: none
Text: кругу, Number: none, Confidence: none, Bbox: none
Text: кровообращения, Number: none, Confidence: none, Bbox: none
Text: куда, Number: none, Confidence: none, Bbox: none
Text: входят, Number: none, Confidence: none, Bbox: none
Text: сосуды, Number: none, Confidence: none, Bbox: none
Text: повышенного, Number: none, Confidence: none, Bbox: none
Text: автомобильширафа, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: жирафа, Number: none, Confidence: none, Bbox: none
Text: вокруг, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: отечность, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: ширафа, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: ширафа, Number: none, Confidence: none, Bbox: none
Text: вокруг, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: отёгность, Number: none, Confidence: none, Bbox: none
Text: т.к., Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
