Text: раба, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: возможно, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: рождение, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: качча, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: ребенка, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: с, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: двумя, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: заболеваниями, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: это, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: мальчик, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: а, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: и, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: -с, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: Он, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: получил, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: -с, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: хромосому, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: от, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: no28), Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: -с, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: а, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: р, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: д, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: зазыв, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: нормальное, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: развитие, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: вышлем, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: без, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: favo, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: в, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: развитии, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: гипертрофию, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: ара, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: restau, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: не, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: вздраапомался, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: огратьнормальное, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: без, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: в, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: развитии, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: за, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: а, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: развитие, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: -с, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: а, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: скрещивание, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: р, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: ф, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: А, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: за, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: развитии, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: помаялся, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: в, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: одной, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: х, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: зау, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: портальное, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: развитие, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: тиш, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: киев, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: и, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: дети, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: без, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: без, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: аза, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: -с, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: fjapa, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: в, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: развитии, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: отряд, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: -с, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: в, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: развитии, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: отдых, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: анормальное, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: развитие, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: в, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: харь, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: анормальное, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: развитие, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: а, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: браке, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: возможно, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: пожалуйста, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: без, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: гипертрофию, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: без, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: без, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: без, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: а, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: гипертраю, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: без, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: гипертриюза, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: кисти,, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: без, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: гипер-, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: триюзы, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: без, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: гипертрию,, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
Text: а, Number: 28, Confidence: 0.85, Bbox: [15.766362190246582, 539.2646484375, 2276.508544921875, 2590.0]
