Text: но, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: обозначен, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: менгир, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: обработки, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: у, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: зрительных, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: сигналов, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: глаза, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: Под, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: п, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: обозначен, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: сувенир, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: обработки, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: информации, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: с, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: у, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: редакторов, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: язык, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: Под, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: цифрой, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: а, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: о, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: изобраобозначен, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: рефлекторный, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: уснул, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: пильных, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: рефлексов, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: Под, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: цифрой, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: а, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: изображенная, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: слюнная, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: железа, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: ара, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: были, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: орган, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: жирафов, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: наблюдается, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: высокое, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: батиальное, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: давление, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: в, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: сенных, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: зави, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: большая, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: артериях, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: из-за, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: достаточно, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: длинной, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: ведь, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: высокая, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: длинны, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: протяженность, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: сонных, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: артерий, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: выше, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: и, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: влияние, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: атмосферного, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: давлен, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: ниях, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: на, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: организм, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: больше, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: -с, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: Повышенная, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: плотность, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: соединительной, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: ткани, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: в, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: конечностях, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: обуло, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: явлена, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: высоким, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: артериальным, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: давлениями, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: и, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: большим, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: объемом, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: крови, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: ведь, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: для, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: е, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: переработках, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: требуется, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: больное, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: количество, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: соединитель, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: николай, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: 252.11., Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: наиболее, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: древние, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: предки, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: сумчатых, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: обижали, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: в, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: Южной, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: америка, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: ке, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: так, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: как, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: сумчатые, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: полу, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: распространились, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: сначала, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: в, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: Южной, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: але, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: брикет, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: а, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: затем, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: переселились, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: в, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: австралиек, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: Также, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: наиболее, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: древние, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: ископаемые, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: останки, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: обнаружили, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: именно, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: в, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: Южной, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: америке, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: -с, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: В, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: расселении, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: сумчатых, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: можно, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: наблюдать, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: биографическую, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: за, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: одномерность, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: ведь, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: их, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: расселение, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: произошло, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: из-за, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: раскола, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: материка, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: Чтобы, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: ваня, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: у, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: что, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: привело, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: к, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: разделению, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: популяций, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: темнеется, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: что, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: привело, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: к, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: разделению, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: покуляций, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: сумнееться, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
